  blondnings	  blondnings	1	1	1	
 dygn koppor	 dygn koppor	1	1	1	
 kvarters längd	 kvarters längd	1	1	1	
 mulld okap	 mulld okap	1	1	1	
 mur graf	 mur graf	1	1	1	
o mur graf	 mur graf	1	1	0.9666666667	 mur graf
 ohrs fotblads värkk	 ohrs fotblads värkk	1	1	1	
 orige slagplogor	 orige slagplogor	1	1	1	
 ors lemmavärkk	 ors lemmavärkk	1	1	1	
 ors slag	 ors slag	1	1	1	
 ors slagrörd	 ors slagrörd	1	1	1	
 ors svora innansnärn bröstv holl o st	 ors svora innansnärn bröstv holl o st	1	1	1	
 ors svullnad i bröst	 ors svullnad i bröst	1	1	1	
 ors tijd af kräfvet	 ors tijd af kräfvet	1	1	1	
 vekkors bröstsj	 vekkors bröstsj	1	1	1	
 vekkors i frässa	 vekkors i frässa	1	1	1	
 vid bergssprängning	 vid bergssprängning	1	1	1	
a    arteriosklerosis kerebri et paraplagia b    k  aekubitus permagna sakralis post operat radikal propter kanker	a    arteriosklerosis kerebri et paraplagia b    k  aekubitus permagna sakralis post operat radikal propter kanker	1	1	1	
a  abskessus mediastini b septikaemia	a  abskessus mediastini b septikaemia	1	1	1	
a  aleukaemia b  aleukaemia  infektia akuta	a  aleukaemia b  aleukaemia  infektia akuta	1	1	1	
a  anaemia pernikiosa b  anaemia pernikiosa k oligphrenia	a  anaemia pernikiosa b  anaemia pernikiosa k oligphrenia	1	1	1	
a  angina pektoris b  angina pektoris	a  angina pektoris b  angina pektoris	1	1	1	
a  appendikitis b  septikaemia	a  appendikitis b  septikaemia	1	1	1	
a  appendiktis b peritonitis bukhinneinflammation	a  appendiktis b peritonitis bukhinneinflammation	1	1	1	
a  appendiktis gangraenosa kum peritonitidem	a  appendiktis gangraenosa kum peritonitidem	1	1	1	
a  arteriosklerosis b  apopletia santegltromb i hjärnblod k  endokarditis khronika	a  arteriosklerosis b  apopletia santegltromb i hjärnblod k  endokarditis khronika	1	1	1	
a  arteriosklerosis b  apoplexia kerebri	a  arteriosklerosis b  apoplexia kerebri	1	1	1	
a  arteriosklerosis b  arteriosklerosis et atrophia kerebr k  vitium myodegeneratio et dilonatio eokordis	a  arteriosklerosis b  arteriosklerosis et atrophia kerebr k  vitium myodegeneratio et dilonatio eokordis	1	1	1	
a  arteriosklerosis b  arteriosklerosis k  myodegeneratio et argtemia kordis hepatis	a  arteriosklerosis b  arteriosklerosis k  myodegeneratio et argtemia kordis hepatis	1	1	1	
a  arteriosklerosis b  arteriosklerosis k  ulkus ventrikuli  tidagare magsor	a  arteriosklerosis b  arteriosklerosis k  ulkus ventrikuli  tidagare magsor	1	1	1	
a  arteriosklerosis b  arteriosklerosis k obstipatio khron	a  arteriosklerosis b  arteriosklerosis k obstipatio khron	1	1	1	
a  arteriosklerosis b  infarktus kordis k  gangraena senilis	a  arteriosklerosis b  infarktus kordis k  gangraena senilis	1	1	1	
a  arteriosklerosis b  infektio akuta	a  arteriosklerosis b  infektio akuta	1	1	1	
a  arteriosklerosis b  koronastrombosis	a  arteriosklerosis b  koronastrombosis	1	1	1	
a  arteriosklerosis b  mar senilis k  emjahgsema pulmorum	a  arteriosklerosis b  mar senilis k  emjahgsema pulmorum	1	1	1	
a  arteriosklerosis b  myodegeneratio kordis	a  arteriosklerosis b  myodegeneratio kordis	1	1	1	
a  arteriosklerosis b  paralysiskordis hjärtmuskelsjukdom k periarthritis genudx reumatism	a  arteriosklerosis b  paralysiskordis hjärtmuskelsjukdom k periarthritis genudx reumatism	1	1	1	
a  arteriosklerosis b  tromposart kanon kord k  endokarditis khron	a  arteriosklerosis b  tromposart kanon kord k  endokarditis khron	1	1	1	
a  arteriosklerosis b a  arteriosklerosis	a  arteriosklerosis b a  arteriosklerosis	1	1	1	
a  arteriosklerosis b sufektiv rheumatika akuta k  endokarditis khronika e vitium kordis	a  arteriosklerosis b sufektiv rheumatika akuta k  endokarditis khronika e vitium kordis	1	1	1	
a  arteriosklerosis b trombosis artev k kororer emdes d  arteriosklerosis	a  arteriosklerosis b trombosis artev k kororer emdes d  arteriosklerosis	1	1	1	
a  arteriosklerosis k  retensio urinae	a  arteriosklerosis k  retensio urinae	1	1	1	
a  arteriosklerosis kerebri b  hypertonia arterialis k  ekzema khronika	a  arteriosklerosis kerebri b  hypertonia arterialis k  ekzema khronika	1	1	1	
a  arteriosklerosis otosklerosis b  marasmus senilis	a  arteriosklerosis otosklerosis b  marasmus senilis	1	1	1	
a  arthritis khronika b  arthritis khronika k  arteriosklerosis epistafi näsblödningar	a  arthritis khronika b  arthritis khronika k  arteriosklerosis epistafi näsblödningar	1	1	1	
a  blaffel k bukbrokk	a  blaffel k bukbrokk	1	1	1	
a  debilitas kongenita b  eklampsia infantum	a  debilitas kongenita b  eklampsia infantum	1	1	1	
a  degeneratio kordis osteriosel myokardii k do	a  degeneratio kordis osteriosel myokardii k do	1	1	1	
a  diabetes mellitus b koma diabetikum	a  diabetes mellitus b koma diabetikum	1	1	1	
a  eklampsia infantum b a  eklampsia infantum	a  eklampsia infantum b a  eklampsia infantum	1	1	1	
a  emphysema pulmonum b  myodegeneratio kordis k  arthosis kormans manum et genum	a  emphysema pulmonum b  myodegeneratio kordis k  arthosis kormans manum et genum	1	1	1	
a  empyema pleurae b  myodegeneratio et insuffikikatio endis	a  empyema pleurae b  myodegeneratio et insuffikikatio endis	1	1	1	
a  enteritis khronika b  enteritis khronika	a  enteritis khronika b  enteritis khronika	1	1	1	
a  epilepsi b  epilepsi  suffokatio	a  epilepsi b  epilepsi  suffokatio	1	1	1	
a  haemorrhagia kerebri hemiplagia sin  b  haemorrhagia kerebri  infektio akuta	a  haemorrhagia kerebri hemiplagia sin  b  haemorrhagia kerebri  infektio akuta	1	1	1	
a  hjärnblödning b  arteriosklerosis universalis allmän arterioskleres ii  senil avmagring	a  hjärnblödning b  arteriosklerosis universalis allmän arterioskleres ii  senil avmagring	1	1	1	
a  hjärnblödning k dito ii allm oderfäkalkning	a  hjärnblödning k dito ii allm oderfäkalkning	1	1	1	
a  hjärtmuskelsjukdom  oderförkalkning b  katarral lunginflammation	a  hjärtmuskelsjukdom  oderförkalkning b  katarral lunginflammation	1	1	1	
a  hjärtmuskelsvikt till följd av skrmogsnjure urin förgiftning k  ii led gongreama i kotorna	a  hjärtmuskelsvikt till följd av skrmogsnjure urin förgiftning k  ii led gongreama i kotorna	1	1	1	
a  hjärtskleros k dito ii   allm oderfäkalkn	a  hjärtskleros k dito ii   allm oderfäkalkn	1	1	1	
a  hypertrophia prostatae b  pneunoma ldx	a  hypertrophia prostatae b  pneunoma ldx	1	1	1	
a  influenza menningitis b  paralysis kordis elekulationskollaps	a  influenza menningitis b  paralysis kordis elekulationskollaps	1	1	1	
a  intoxikatio b  myodegeneritio  kordis hjärtmuskel ii spondylosis deformens  ls	a  intoxikatio b  myodegeneritio  kordis hjärtmuskel ii spondylosis deformens  ls	1	1	1	
a  ka bronkhi alis pulmonis dx b  ka	a  ka bronkhi alis pulmonis dx b  ka	1	1	1	
a  ka pleurae sin b   ka pleurae sin	a  ka pleurae sin b   ka pleurae sin	1	1	1	
a  ka rekti b  ka rekti	a  ka rekti b  ka rekti	1	1	1	
a  ka ventrikuli b  ka ventrikuli	a  ka ventrikuli b  ka ventrikuli	1	1	1	
a  ka ventrikuli magkräfta b  ka ventrikuli magkräfta k  arteriosklerosis prolapsus uteri rasitiv	a  ka ventrikuli magkräfta b  ka ventrikuli magkräfta k  arteriosklerosis prolapsus uteri rasitiv	1	1	1	
a  kardiosklerosis b  trombosis arterkoronae kordis	a  kardiosklerosis b  trombosis arterkoronae kordis	1	1	1	
a  karkin intestini e indestatibus vertebrarum b  k  vitium kordis valvulae mitralis	a  karkin intestini e indestatibus vertebrarum b  k  vitium kordis valvulae mitralis	1	1	1	
a  karkinoma hepatis  b	a  karkinoma hepatis  b	1	1	1	
a  karkinoma pankreatis b  karkinosis pleurae sin et rekitonae epigestrii	a  karkinoma pankreatis b  karkinosis pleurae sin et rekitonae epigestrii	1	1	1	
a  karkinoma ventrikuli b  karkinoma ventrikuli	a  karkinoma ventrikuli b  karkinoma ventrikuli	1	1	1	
a  karkinoma ventrikuli b  karkinoma ventrikuli magsäkkskräfta	a  karkinoma ventrikuli b  karkinoma ventrikuli	1	1	0.9516129032	a  karkinoma ventrikuli b  karkinoma ventrikuli
a  karkinoma ventrikuli b a  karkinoma ventrikuli k  hypertrophia prostatae	a  karkinoma ventrikuli b a  karkinoma ventrikuli k  hypertrophia prostatae	1	1	1	
a  karkinoma ventrikuli b a  karkinoma ventrikuli k haemortenosis	a  karkinoma ventrikuli b a  karkinoma ventrikuli k haemortenosis	1	1	1	
a  kauteri b  kauteri e metastot hepatis et peritonei	a  kauteri b  kauteri e metastot hepatis et peritonei	1	1	1	
a  mar senilis b  mar senilis k arteriosklerosis	a  mar senilis b  mar senilis k arteriosklerosis	1	1	1	
a  marasmus senilis	a  marasmus senilis	1	1	1	
a  marasmus senilis b  infektio akuta k  vitium valvmitral	a  marasmus senilis b  infektio akuta k  vitium valvmitral	1	1	1	
a  marasmus senilis b  marasmus senilis	a  marasmus senilis b  marasmus senilis	3	3	1	
a  marasmus senilisa b  marasmus senilis	a  marasmus senilis b  marasmus senilis	1	3	0.9796153846	a  marasmus senilis b  marasmus senilis
a  marasmus senilis b  marasmus senilis k  arterioserelosis  tumor permegna	a  marasmus senilis b  marasmus senilis k  arterioserelosis  tumor permegna	1	1	1	
