aabro	aabro	4	4
aadtlander	aadtlander	0	0
aakko	aakko	16	39
aacko	aakko	17	39
aako	aakko	2	39
akko	aakko	2	39
ako	aakko	2	39
aakula	aakula	17	17
aalto	aalto	265	265
aaltola	aaltola	1	1
aaltonen	aaltonen	390	390
aaro	aaro	1	1
aatila	aatila	3	3
aatonen	aatonen	1	1
abaschiroa	abaschiroa	2	2
abbarre	abbarre	0	0
abbor	abbor	180	180
abbors	abbors	18	18
aborre	aborre	13	89
abborre	aborre	56	89
abbore	aborre	20	89
abelstedt	abelstedt	34	36
abelsted	abelstedt	2	36
ablström	ablström	2	2
abrot	abrot	1	1
abt	abt	9	9
achander	achander	89	89
achrén	achrén	108	108
achrenius	achrenius	163	163
achtel	achtel	2	2
achtman	achtman	67	92
achtaman	achtman	0	92
acthan	achtman	0	92
acthman	achtman	24	92
actuman	achtman	0	92
aethman	achtman	0	92
aclhman	achtman	1	92
ackman	ackman	1	1
adami	adami	140	140
addens	addens	6	6
adelberg	adelberg	1	1
adelsman	adelsman	4	4
adelstedt	adelstedt	1	1
adenius	adenius	5	5
adler	adler	119	119
adlerkreutz	adlerkreutz	6	80
adlerkreuts	adlerkreutz	1	80
adlercreutz	adlerkreutz	73	80
adlerstjerna	adlerstjerna	13	13
adles	adles	1	1
aejmelaeus	aejmelaeus	39	46
ajmelaeus	aejmelaeus	7	46
aeimalaea	aejmelaeus	0	46
aeimalea	aejmelaeus	0	46
aerikka	aerikka	2	2
afanasijeff	afanasijeff	0	1
afamofieff	afanasijeff	0	1
afanafieff	afanasijeff	1	1
afanasieff	afanasijeff	0	1
affanasieff	afanasijeff	0	1
afleckt	afleckt	2	78
afflech	afleckt	1	78
afflecht	afleckt	29	78
affleck	afleckt	17	78
afflek	afleckt	2	78
afflleck	afleckt	1	78
aflech	afleckt	0	78
aflecht	afleckt	8	78
afleck	afleckt	13	78
aflek	afleckt	5	78
agricola	agricola	40	40
ahdasmäki	ahdasmäki	3	3
adasmäki	ahdasmäki	0	3
ahlstrand	ahlstrand	59	59
ahonen	ahonen	2631	4725
ahoin	ahonen	1903	4725
ahoinen	ahonen	190	4725
ahåinen	ahonen	1	4725
aikio	aikio	287	287
aikjo	aikio	0	287
agafoboff	agafoboff	0	6
agaphonoff	agafoboff	5	6
agaphonow	agafoboff	1	6
agander	agander	171	171
agerholtz	agerholtz	4	7
agerholz	agerholtz	3	7
agg	agg	1	1
agrell	agrell	4	4
ahavainen	ahavainen	0	1
ahavain	ahavainen	1	1
ahde	ahde	17	17
ahl	ahl	821	833
al	ahl	12	833
alhl	ahl	0	833
ahlbeck	ahlbeck	96	387
ahlbäck	ahlbeck	291	387
ahlberg	ahlberg	1167	1297
alberg	ahlberg	129	1297
aalberg	ahlberg	1	1297
ahlblad	ahlblad	145	145
ahlbom	ahlbom	459	522
albom	ahlbom	63	522
ahlbreht	ahlbreht	1	279
albrecht	ahlbreht	228	279
albrect	ahlbreht	41	279
albreht	ahlbreht	9	279
ahlfeldt	ahlfeldt	3	3
ahlfors	ahlfors	636	722
alfors	ahlfors	79	722
ahlforsin	ahlfors	4	722
ahlfros	ahlfors	1	722
aalfors	ahlfors	2	722
ahlgren	ahlgren	1140	1307
ahlgréns	ahlgren	6	1307
algren	ahlgren	98	1307
ahlgreen	ahlgren	23	1307
ahlgrenin	ahlgren	9	1307
ahgren	ahlgren	1	1307
almgren'in	ahlgren	0	1307
almgrens	ahlgren	0	1307
almgrén	ahlgren	30	1307
ahlholm	ahlholm	442	590
alholm	ahlholm	148	590
